Model,Classifier,Parameters,AUC-ROC,f1_score_5,f1_score_10,f1_score_20,Accuracy,Precision_5,Precision_10,Precision_20,Recall_5,Recall_10,Recall_20
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.7642195526982131,0.3749277874061236,0.43530834340991537,0.351419241396634,0.9343,0.43266666666666664,0.36,0.23316666666666666,0.3307849133537207,0.5504587155963303,0.7130479102956168
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8280753879309999,0.37435008665511266,0.40830310358726324,0.3303190153227833,0.9370333333333334,0.432,0.33766666666666667,0.21916666666666668,0.3302752293577982,0.5163098878695209,0.6702344546381244
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.8185768836802886,0.37261698440207974,0.3921805723498589,0.324290379301683,0.9372333333333334,0.43,0.3243333333333333,0.21516666666666667,0.3287461773700306,0.49592252803261977,0.6580020387359837
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8433944841422798,0.39341421143847494,0.418782748891576,0.341873901029892,0.9379666666666666,0.454,0.3463333333333333,0.22683333333333333,0.3470948012232416,0.5295616717635067,0.6936799184505607
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2}",0.7064456319983387,0.661467359907568,0.46150745667069737,0.3049485054006531,0.9346,0.7633333333333333,0.38166666666666665,0.20233333333333334,0.5835881753312946,0.5835881753312946,0.6187563710499491
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6730501505929153,0.5447718082033506,0.3800886739218057,0.4928409947249435,0.9346,0.6286666666666667,0.31433333333333335,0.327,0.48063200815494395,0.48063200815494395,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6204156525885686,0.3506643558636627,0.7908101571946796,0.4928409947249435,0.9346,0.4046666666666667,0.654,0.327,0.30937818552497454,1.0,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2}",0.7064456319983387,0.661467359907568,0.46150745667069737,0.3049485054006531,0.9346,0.7633333333333333,0.38166666666666665,0.20233333333333334,0.5835881753312946,0.5835881753312946,0.6187563710499491
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5}",0.5126475362292284,0.8665511265164645,0.7855703345425231,0.4895754835468475,0.9346,1.0,0.6496666666666666,0.3248333333333333,0.764525993883792,0.9933741080530072,0.9933741080530072
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10}",0.5234925275069026,0.12998266897746968,0.4441757355904877,0.4928409947249435,0.9346,0.15,0.36733333333333335,0.327,0.11467889908256881,0.5616717635066258,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2}",0.7937972123023079,0.39456961294049675,0.46916565900846435,0.3021853805576488,0.9358,0.4553333333333333,0.388,0.2005,0.34811416921508664,0.5932721712538226,0.6131498470948012
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5}",0.8095767201480385,0.3928365106874639,0.3708182184602983,0.33961316252197943,0.9369666666666666,0.4533333333333333,0.30666666666666664,0.22533333333333333,0.34658511722731905,0.4689092762487258,0.6890927624872579
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10}",0.8097219559096985,0.3986135181975737,0.4832728738411931,0.3524240140668174,0.9370333333333334,0.46,0.39966666666666667,0.23383333333333334,0.3516819571865443,0.6111111111111112,0.7150866462793068
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2}",0.7485718286504868,0.38763720392836515,0.3389762192664248,0.3177593569454911,0.9373,0.44733333333333336,0.2803333333333333,0.21083333333333334,0.3419979612640163,0.4286442405708461,0.644750254841998
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5}",0.8155268963287702,0.3980358174465627,0.40588472390165253,0.3474001507159005,0.9363666666666667,0.4593333333333333,0.33566666666666667,0.2305,0.35117227319062183,0.5132517838939857,0.7048929663608563
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10}",0.7937689177328074,0.415366839976892,0.4820636839983877,0.32202964079377044,0.9362,0.47933333333333333,0.39866666666666667,0.21366666666666667,0.36646279306829765,0.6095820591233435,0.6534148827726809
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2}",0.8059143412402523,0.3674176776429809,0.39742039500201526,0.34966088922381316,0.9354333333333333,0.424,0.32866666666666666,0.232,0.3241590214067278,0.5025484199796126,0.709480122324159
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5}",0.818549334422288,0.37608318890814557,0.3905683192261185,0.34664657121326303,0.9362666666666667,0.434,0.323,0.23,0.3318042813455658,0.4938837920489297,0.7033639143730887
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10}",0.8196755637227152,0.3789716926632005,0.4010479645304313,0.3328309469982417,0.9351,0.43733333333333335,0.33166666666666667,0.22083333333333333,0.3343527013251784,0.5071355759429154,0.6753312945973496
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2}",0.821005681164175,0.3489312536106297,0.38814993954050786,0.3315749811605124,0.9344333333333333,0.4026666666666667,0.321,0.22,0.30784913353720694,0.4908256880733945,0.672782874617737
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5}",0.8108878048787583,0.3749277874061236,0.40507859733978235,0.3315749811605124,0.9341333333333334,0.43266666666666664,0.335,0.22,0.3307849133537207,0.5122324159021406,0.672782874617737
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10}",0.813126866050945,0.3674176776429809,0.37404272470777916,0.32680231097714146,0.9348333333333333,0.424,0.30933333333333335,0.21683333333333332,0.3241590214067278,0.47298674821610603,0.663098878695209
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2}",0.6134986710550607,0.2749855574812248,0.2898024989923418,0.22959055513690027,0.9183333333333333,0.31733333333333336,0.23966666666666667,0.15233333333333332,0.24260958205912334,0.36646279306829765,0.4658511722731906
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6501099079965671,0.292894280762565,0.3022974607013301,0.24918362220547602,0.9212333333333333,0.338,0.25,0.16533333333333333,0.25840978593272174,0.382262996941896,0.5056065239551478
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6880188867751128,0.3027151935297516,0.3256751309955663,0.27279577995478527,0.9264666666666667,0.34933333333333333,0.2693333333333333,0.181,0.2670744138634047,0.41182466870540263,0.5535168195718655
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2}",0.601558408171697,0.2813402657423455,0.2869810560257961,0.2290881688018086,0.9189,0.32466666666666666,0.23733333333333334,0.152,0.24821610601427116,0.36289500509684,0.4648318042813456
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5}",0.6546140889759412,0.3056036972848065,0.3188230552196695,0.25194674704848025,0.9198333333333333,0.3526666666666667,0.26366666666666666,0.16716666666666666,0.26962283384301733,0.4031600407747197,0.5112130479102956
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10}",0.6892244190369571,0.2836510687463894,0.32043530834340994,0.276312484300427,0.9243,0.3273333333333333,0.265,0.18333333333333332,0.2502548419979613,0.40519877675840976,0.5606523955147809
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2}",0.6163643574153296,0.32351242056614676,0.5949214026602178,0.4928409947249435,0.9031333333333333,0.37333333333333335,0.492,0.327,0.2854230377166157,0.7522935779816514,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6361199839536252,0.2645869439630271,0.27972591696896415,0.4928409947249435,0.9095666666666666,0.30533333333333335,0.23133333333333334,0.327,0.23343527013251783,0.35372069317023447,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6811390163007988,0.3258232235701906,0.3095525997581621,0.4928409947249435,0.9201666666666667,0.376,0.256,0.327,0.2874617737003058,0.39143730886850153,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2}",0.6097929640994721,0.31080300404390526,0.5767835550181377,0.4928409947249435,0.9014666666666666,0.3586666666666667,0.477,0.327,0.2742099898063201,0.7293577981651376,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5}",0.6362768265785207,0.24032351242056615,0.28214429665457474,0.4928409947249435,0.9110666666666667,0.2773333333333333,0.23333333333333334,0.327,0.21202854230377166,0.3567787971457696,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10}",0.6807585893151126,0.28942807625649913,0.3035066505441354,0.4928409947249435,0.9184333333333333,0.334,0.251,0.327,0.25535168195718655,0.3837920489296636,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 2}",0.6120122926952419,0.31658001155401505,0.5650947198710198,0.4928409947249435,0.9004666666666666,0.36533333333333334,0.4673333333333333,0.327,0.2793068297655454,0.7145769622833843,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6351159039366918,0.2744078567302138,0.2756952841596131,0.4928409947249435,0.9121333333333334,0.31666666666666665,0.228,0.327,0.2420998980632008,0.3486238532110092,1.0
DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6749301170488079,0.2876949740034662,0.3039097138250706,0.4928409947249435,0.9157666666666666,0.332,0.25133333333333335,0.327,0.25382262996941896,0.3843017329255861,1.0
